id;source;destination;source_station;destination_station;source_position_X;source_position_Y;destination_position_X;destination_position_Y
144;0642MT-o;M01;ARI;ARI;1592;560;1698.0;560.0
155;02MT-o;M02;DEM;DEM;224;482;336.0;496.0
156;04MT-o;M04;DEM;DEM;224;560;335.0;537.0
164;01ST;M05;DEM;DEM;531;418;606.0;432.0
165;02ST;M05;DEM;DEM;516;482;606.0;432.0
166;03ST;M07;DEM;DEM;516;560;606.0;560.0
167;04ST;M07;DEM;DEM;531;624;606.0;560.0
9;0141BT;04MT-o;KAS;KAS;492;482;604.0;482.0
10;0142BT;02MT-o;KAS;KAS;492;560;604.0;560.0
149;0701BT;0731BT;ARI;DEM;2028;482;0.0;482.0
150;0702BT;0732BT;ARI;DEM;2028;560;0.0;560.0
151;0731BT;0761BT;DEM;DEM;0;482;112.0;482.0
152;0732BT;0762BT;DEM;DEM;0;560;112.0;560.0
51;0291BT;0321BT;CUM;CUM;0;482;112.0;482.0
52;0292BT;0322BT;CUM;CUM;0;560;112.0;560.0
53;0321BT;0361BT;CUM;CUM;112;482;224.0;482.0
54;0322BT;0362BT;CUM;CUM;112;560;224.0;560.0
55;0361BT;0391BT;CUM;CUM;224;482;336.0;482.0
56;0362BT;0392BT;CUM;CUM;224;560;336.0;560.0
136;09MT-o;0611BT;ARI;ARI;1233;482;1368.0;482.0
137;05MT-o;0612BT;ARI;ARI;1270;545;1368.0;560.0
138;03MT-o;0613BT;ARI;ARI;1278;624;1390.0;624.0
187;0971BT;04MT-o;KAR;KAR;224;482;336.0;482.0
188;0972BT;02MT-o;KAR;KAR;224;560;336.0;560.0
94;05MT-o;07ST;CUM;CUM;1496;418;1608.0;418.0
95;03MT-o;0441BT;CUM;CUM;1586;482;1698.0;482.0
96;01MT-o;0442BT;CUM;CUM;1586;560;1698.0;560.0
97;0441BT;0471BT;CUM;CUM;1698;482;1810.0;482.0
98;0442BT;0472BT;CUM;CUM;1698;560;1810.0;560.0
101;0501BT;0531BT;ARI;ARI;0;482;112.0;482.0
102;0502BT;0532BT;ARI;ARI;0;560;112.0;560.0
99;0471BT;0501BT;CUM;ARI;1810;482;0.0;482.0
100;0472BT;0502BT;CUM;ARI;1810;560;0.0;560.0
103;0531BT;0571BT;ARI;ARI;112;482;224.0;482.0
104;0532BT;0572BT;ARI;ARI;112;560;224.0;560.0
105;0571BT;04MT-o;ARI;ARI;224;482;336.0;482.0
106;0572BT;02MT-o;ARI;ARI;224;560;336.0;560.0
139;0611BT;0641BT;ARI;ARI;1368;482;1480.0;482.0
141;0641BT;0671BT;ARI;ARI;1480;482;1726.0;482.0
142;0642BT;0642MT-o;ARI;ARI;1480;560;1592.0;560.0
146;01MT-o;0672BT;ARI;ARI;1804;560;1916.0;560.0
147;0671BT;0701BT;ARI;ARI;1726;482;2028.0;482.0
148;0672BT;0702BT;ARI;ARI;1916;560;2028.0;560.0
153;0761BT;02MT-o;DEM;DEM;112;482;224.0;482.0
154;0762BT;04MT-o;DEM;DEM;112;560;224.0;560.0
173;01MT-o;0801BT;DEM;DEM;802;482;914.0;482.0
174;03MT-o;0802BT;DEM;DEM;802;560;914.0;560.0
175;0801BT;0831BT;DEM;DEM;914;482;1026.0;482.0
176;0802BT;0832BT;DEM;DEM;914;560;1026.0;560.0
177;0831BT;0861BT;DEM;DEM;1026;482;1138.0;482.0
178;0832BT;0862BT;DEM;DEM;1026;560;1138.0;560.0
179;0861BT;0881BT;DEM;DEM;1138;482;1250.0;482.0
180;0862BT;0882BT;DEM;DEM;1138;560;1250.0;560.0
181;0881BT;0911BT;DEM;KAR;1250;482;0.0;482.0
182;0882BT;0912BT;DEM;KAR;1250;560;0.0;560.0
183;0911BT;0941BT;KAR;KAR;0;482;112.0;482.0
184;0912BT;0942BT;KAR;KAR;0;560;112.0;560.0
185;0941BT;0971BT;KAR;KAR;112;482;224.0;482.0
186;0942BT;0972BT;KAR;KAR;112;560;224.0;560.0
140;0612BT;0642BT;ARI;ARI;1368;560;1480.0;560.0
222;1021BT;1061BT;KAR;KAR;1698;482;1810.0;482.0
223;1022BT;1062BT;KAR;KAR;1698;560;1810.0;560.0
220;03MT-o;1022BT;KAR;KAR;1586;560;1698.0;560.0
221;01MT-o;1021BT;KAR;KAR;1586;482;1698.0;482.0
